Address,City,Postal Code,Latitude,Longitude
1832 Danforth Av, Toronto, ON M4C 1H8,43.684741,-79.318224
1300 Bloor W, Toronto, ON M6H 1N9,43.658541,-79.442329
1030 Queen E, Toronto, ON M4M 1K4,43.661625,-79.338395
139 Church, Toronto, ON M5B 1Y4,43.653714,-79.375818
366 Oakwood Ave, Toronto, ON M6E 2W3,43.687184,-79.438995
129 Church, Toronto, ON M5C 2T3,43.653274,-79.375642
145 Church St, Toronto, ON M5B1Y4,43.653809,-79.375792
1273 Bloor St W, Toronto, ON M6H1N7,43.658296,-79.442036
1832 Danforth Ave, Toronto, ON M4C1H8,43.684741,-79.318224
1200 Queen St W, Toronto, ON M6J1J6,43.642721,-79.426656
2951 Dundas St W, Toronto, ON M6P1Z2,43.665297,-79.467612
3016 Bathurst St, Toronto, ON M6B3B6,43.717788,-79.429664
1212 Bloor St W, Toronto, ON M6H1N3,43.65927,-79.438878
665 Markham St, Toronto, ON M6G2M1,43.665867,-79.412581
115 Church St, Toronto, ON M5C2G5,43.652803,-79.375438
137 Dundas St E, Toronto, ON M5B2N6,43.655926,-79.376034
94 Queen St E, Toronto, ON M5C1S6,43.653726,-79.37412
129 Church St, Toronto, ON M5B1Y4,43.653274,-79.375642
94 Dundas St E, Toronto, ON M5B1C9,43.656576,-79.37788
151 Church St, Toronto, ON M5B1Y4,43.653989,-79.375961
4 Church St, Toronto, ON M5G,43.647452,-79.373491
5010 Steeles Ave W, Toronto, ON M9V 5C6,43.759973,-79.592211