Address,City,Latitude,Longitude
2625D WESTON ROAD,Toronto,43.712719,-79.530925
1357 QUEEN ST. W.,Toronto,43.640713,-79.434852
2151 ST. CLAIR AVE. W.,Toronto,43.670747,-79.472966
2762 LAKE SHORE BOULEVARD WEST,Toronto,43.602399,-79.499343
2946 BLOOR STREET WEST,Toronto,43.648222,-79.508172
1618 WILSON AVENUE,Toronto,43.721234,-79.510392
250 THE EAST MALL,Toronto,43.63241,-79.556481
125 THE QUEENSWAY,Toronto,43.630551,-79.480718
211 LLOYD MANOR ROAD,Toronto,43.675377,-79.557139
1339 LAWRENCE AVE. WEST,Toronto,43.708585,-79.474731
3520 DUNDAS STREET WEST,Toronto,43.666077,-79.488764
1530 ALBION ROAD,Toronto,43.741694,-79.584373
415 THE WESTWAY,Toronto,43.683038,-79.565875
662 BURNHAMTHORPE ROAD,Toronto,43.641734,-79.577459
1 YORK GATE BOULEVARD,Toronto,43.758986,-79.518803
259 THE KINGSWAY,Toronto,43.661301,-79.518012
2180 BLOOR STREET WEST,Toronto,43.651861,-79.474387
1090 THE QUEENSWAY,Toronto,43.62328,-79.518232
2290 DUNDAS STREET WEST,Toronto,43.655375,-79.450562
1750 THE QUEENSWAY,Toronto,43.615206,-79.557446
1245 DUPONT STREET,Toronto,43.667654,-79.442083
3730 LAKESHORE BLVD. WEST,Toronto,43.593693,-79.540713
2218 LAKE SHORE BLVD W,Toronto,43.622797,-79.483351
2803 DUNDAS ST W,Toronto,43.665202,-79.462742
,Toronto,43.653226,-79.383184
1230 DUNDAS STREET WEST,Toronto,43.649655,-79.423556
10 SCRIVENER SQUARE,Toronto,43.680808,-79.390625
932 GERRARD STREET EAST,Toronto,43.668117,-79.341066
512 PARLIAMENT STREET A,Toronto,43.665536,-79.368826
337 SPADINA AVENUE,Toronto,43.654738,-79.398202
222 FRONT STREET EAST,Toronto,43.651188,-79.365431
"85 HANNA AVENUE, UNIT 103",Toronto,43.640134,-79.419768
2 COOPER STREET,Toronto,43.643001,-79.37255
100 KING STREET WEST,Toronto,43.648636,-79.381744
547 YONGE STREET,Toronto,43.664465,-79.384231
"200 BAY STREET, UNIT 115",Toronto,43.646516,-79.38006
415 KING STREET WEST,Toronto,43.645309,-79.394647
20 BLOOR STREET EAST,Toronto,43.670893,-79.386708
55 BLOOR STREET WEST,Toronto,43.669582,-79.388573
87 FRONT STREET E.,Toronto,43.648772,-79.372216
595 BAY STREET,Toronto,43.65622,-79.383291
60 CARLTON ST (SECOND FLOOR),Toronto,43.662129,-79.380147
491 COLLEGE STREET,Toronto,43.655827,-79.409537
777 BAY STREET,Toronto,43.660486,-79.384456
619 QUEEN STREET WEST,Toronto,43.647281,-79.402908
776 QUEEN STREET EAST,Toronto,43.65968,-79.347502
15 YORK STREET,Toronto,43.642422,-79.380938
200 DANFORTH AVENUE,Toronto,43.676983,-79.355966
1654 QUEEN STREET EAST,Toronto,43.666952,-79.314993
1145 DANFORTH AVENUE,Toronto,43.681006,-79.333331
3111 DANFORTH AVENUE,Toronto,43.691052,-79.285854
65 WICKSTEED AVENUE,Toronto,43.710742,-79.360681
1900 EGLINTON AVENUE EAST,Toronto,43.728053,-79.294142
4525 KINGSTON ROAD,Toronto,43.770748,-79.18404
55 ELLESMERE ROAD,Toronto,43.757783,-79.314075
510 BRIMLEY ROAD,Toronto,43.735532,-79.248154
3441 LAWRENCE AVENUE EAST,Toronto,43.758022,-79.232559
45 OVERLEA BOULEVARD,Toronto,43.705795,-79.346028
785 MILNER AVENUE,Toronto,43.797576,-79.203432
2356 KENNEDY ROAD,Toronto,43.784862,-79.289655
1009 COXWELL AVE,Toronto,43.696881,-79.32882
5508 LAWRENCE AVENUE EAST,Toronto,43.779738,-79.138848
2946 FINCH AVENUE EAST,Toronto,43.794094,-79.329415
1571 SANDHURST CIRCLE,Toronto,43.809255,-79.269605
2963 KINGSTON ROAD,Toronto,43.725112,-79.231942
1986 QUEEN STREET EAST,Toronto,43.670088,-79.300427
21 WILLIAM KITCHEN RD H2,Toronto,43.774062,-79.27971
5979 STEELES AVENUE EAST,Toronto,43.834958,-79.256303
999 ANY STREET,Toronto,43.645335,-79.413184
2181 STEELES AVE W UNIT 17,Toronto,43.784674,-79.476628
396 ST. CLAIR AVE. WEST,Toronto,43.684148,-79.415339
101 EGLINTON AVENUE EAST,Toronto,43.707189,-79.394402
908 ST. CLAIR AVENUE WEST,Toronto,43.680243,-79.433958
879 BLOOR STREET WEST,Toronto,43.661983,-79.425143
232 DUPONT STREET,Toronto,43.675419,-79.405722
5095 YONGE STREET A4,Toronto,43.768667,-79.412095
9A BOGERT AVENUE,Toronto,43.7603,-79.411142
195 THE DONWAY WEST,Toronto,43.736308,-79.345989
420 SPADINA ROAD,Toronto,43.688827,-79.413037
2901 BAYVIEW AVENUE - UNIT #125,Toronto,43.769155,-79.385939
675 WILSON AVENUE,Toronto,43.732626,-79.454831
1838-1844 AVENUE ROAD,Toronto,43.731087,-79.419485
2300 YONGE STREET,Toronto,43.707269,-79.399601
1800 SHEPPARD AVENUE EAST,Toronto,43.77799,-79.344091
333 EGLINTON AVENUE WEST,Toronto,43.708966,-79.386745
"1563 STEELES AVENUE EAST, ON",Toronto,43.805461,-79.384155
1115 LODESTAR ROAD,Toronto,43.759236,-79.466467
808 YORK MILLS ROAD,Toronto,43.754118,-79.357963
1524 BAYVIEW AVENUE,Toronto,43.704037,-79.37469
111 ST. CLAIR AVENUE WEST,Toronto,43.686709,-79.399258
502 LAWRENCE AVENUE WEST,Toronto,43.720381,-79.431456